N,M,DCNT,VTH,VGS,VDD,ID,POWER
19,0,1.487780408,-0.289021147,-1,-0.3,3.88E-05,-1.17E-05
19,0,1.487780408,-0.289021147,-1,-0.4,4.14E-05,-1.66E-05
19,0,1.487780408,-0.289021147,-1,-0.5,4.15E-05,-2.08E-05
19,0,1.487780408,-0.289021147,-1,-0.6,4.15E-05,-2.49E-05
19,0,1.487780408,-0.289021147,-1,-0.7,4.15E-05,-2.91E-05
19,0,1.487780408,-0.289021147,-1,-0.8,4.15E-05,-3.32E-05
19,0,1.487780408,-0.289021147,-1,-0.9,4.15E-05,-3.74E-05
19,0,1.487780408,-0.289021147,-1,-1,4.15E-05,-4.15E-05
18,0,1.409476176,-0.305077877,0,-0.1,2.28E-11,-2.28E-12
18,0,1.409476176,-0.305077877,0,-0.2,2.33E-11,-4.65E-12
18,0,1.409476176,-0.305077877,0,-0.3,2.33E-11,-6.98E-12
18,0,1.409476176,-0.305077877,0,-0.4,2.33E-11,-9.31E-12
18,0,1.409476176,-0.305077877,0,-0.5,2.33E-11,-1.16E-11
18,0,1.409476176,-0.305077877,0,-0.6,2.33E-11,-1.40E-11
18,0,1.409476176,-0.305077877,0,-0.7,2.33E-11,-1.63E-11
18,0,1.409476176,-0.305077877,0,-0.8,2.33E-11,-1.86E-11
18,0,1.409476176,-0.305077877,0,-0.9,2.33E-11,-2.09E-11
18,0,1.409476176,-0.305077877,0,-1,2.33E-11,-2.33E-11
18,0,1.409476176,-0.305077877,-0.1,-0.1,8.34E-10,-8.34E-11
18,0,1.409476176,-0.305077877,-0.1,-0.2,8.51E-10,-1.70E-10
18,0,1.409476176,-0.305077877,-0.1,-0.3,8.52E-10,-2.56E-10
18,0,1.409476176,-0.305077877,-0.1,-0.4,8.52E-10,-3.41E-10
18,0,1.409476176,-0.305077877,-0.1,-0.5,8.52E-10,-4.26E-10
18,0,1.409476176,-0.305077877,-0.1,-0.6,8.52E-10,-5.11E-10
18,0,1.409476176,-0.305077877,-0.1,-0.7,8.52E-10,-5.96E-10
18,0,1.409476176,-0.305077877,-0.1,-0.8,8.52E-10,-6.81E-10
18,0,1.409476176,-0.305077877,-0.1,-0.9,8.52E-10,-7.67E-10
18,0,1.409476176,-0.305077877,-0.1,-1,8.52E-10,-8.52E-10
18,0,1.409476176,-0.305077877,-0.2,-0.1,2.94E-08,-2.94E-09
18,0,1.409476176,-0.305077877,-0.2,-0.2,3.01E-08,-6.01E-09
18,0,1.409476176,-0.305077877,-0.2,-0.3,3.01E-08,-9.02E-09
18,0,1.409476176,-0.305077877,-0.2,-0.4,3.01E-08,-1.20E-08
18,0,1.409476176,-0.305077877,-0.2,-0.5,3.01E-08,-1.50E-08
18,0,1.409476176,-0.305077877,-0.2,-0.6,3.01E-08,-1.80E-08
18,0,1.409476176,-0.305077877,-0.2,-0.7,3.01E-08,-2.11E-08
18,0,1.409476176,-0.305077877,-0.2,-0.8,3.01E-08,-2.41E-08
18,0,1.409476176,-0.305077877,-0.2,-0.9,3.01E-08,-2.71E-08
18,0,1.409476176,-0.305077877,-0.2,-1,3.01E-08,-3.01E-08
18,0,1.409476176,-0.305077877,-0.3,-0.1,5.60E-07,-5.60E-08
18,0,1.409476176,-0.305077877,-0.3,-0.2,5.77E-07,-1.15E-07
18,0,1.409476176,-0.305077877,-0.3,-0.3,5.77E-07,-1.73E-07
18,0,1.409476176,-0.305077877,-0.3,-0.4,5.77E-07,-2.31E-07
18,0,1.409476176,-0.305077877,-0.3,-0.5,5.77E-07,-2.89E-07
18,0,1.409476176,-0.305077877,-0.3,-0.6,5.77E-07,-3.46E-07
18,0,1.409476176,-0.305077877,-0.3,-0.7,5.77E-07,-4.04E-07
18,0,1.409476176,-0.305077877,-0.3,-0.8,5.77E-07,-4.62E-07
18,0,1.409476176,-0.305077877,-0.3,-0.9,5.77E-07,-5.20E-07
18,0,1.409476176,-0.305077877,-0.3,-1,5.77E-07,-5.77E-07
18,0,1.409476176,-0.305077877,-0.4,-0.1,2.64E-06,-2.64E-07
18,0,1.409476176,-0.305077877,-0.4,-0.2,2.80E-06,-5.59E-07
18,0,1.409476176,-0.305077877,-0.4,-0.3,2.80E-06,-8.40E-07
18,0,1.409476176,-0.305077877,-0.4,-0.4,2.80E-06,-1.12E-06
18,0,1.409476176,-0.305077877,-0.4,-0.5,2.80E-06,-1.40E-06
18,0,1.409476176,-0.305077877,-0.4,-0.6,2.80E-06,-1.68E-06
18,0,1.409476176,-0.305077877,-0.4,-0.7,2.80E-06,-1.96E-06
18,0,1.409476176,-0.305077877,-0.4,-0.8,2.80E-06,-2.24E-06
18,0,1.409476176,-0.305077877,-0.4,-0.9,2.80E-06,-2.52E-06
18,0,1.409476176,-0.305077877,-0.4,-1,2.80E-06,-2.80E-06
18,0,1.409476176,-0.305077877,-0.5,-0.1,6.16E-06,-6.16E-07
18,0,1.409476176,-0.305077877,-0.5,-0.2,6.94E-06,-1.39E-06
18,0,1.409476176,-0.305077877,-0.5,-0.3,6.96E-06,-2.09E-06
18,0,1.409476176,-0.305077877,-0.5,-0.4,6.96E-06,-2.78E-06
18,0,1.409476176,-0.305077877,-0.5,-0.5,6.96E-06,-3.48E-06
18,0,1.409476176,-0.305077877,-0.5,-0.6,6.96E-06,-4.17E-06
18,0,1.409476176,-0.305077877,-0.5,-0.7,6.96E-06,-4.87E-06
18,0,1.409476176,-0.305077877,-0.5,-0.8,6.96E-06,-5.57E-06
18,0,1.409476176,-0.305077877,-0.5,-0.9,6.96E-06,-6.26E-06
18,0,1.409476176,-0.305077877,-0.5,-1,6.96E-06,-6.96E-06
18,0,1.409476176,-0.305077877,-0.6,-0.1,1.00E-05,-1.00E-06
18,0,1.409476176,-0.305077877,-0.6,-0.2,1.31E-05,-2.62E-06
18,0,1.409476176,-0.305077877,-0.6,-0.3,1.33E-05,-3.98E-06
18,0,1.409476176,-0.305077877,-0.6,-0.4,1.33E-05,-5.30E-06
18,0,1.409476176,-0.305077877,-0.6,-0.5,1.33E-05,-6.63E-06
18,0,1.409476176,-0.305077877,-0.6,-0.6,1.33E-05,-7.95E-06
18,0,1.409476176,-0.305077877,-0.6,-0.7,1.33E-05,-9.28E-06
18,0,1.409476176,-0.305077877,-0.6,-0.8,1.33E-05,-1.06E-05
18,0,1.409476176,-0.305077877,-0.6,-0.9,1.33E-05,-1.19E-05
18,0,1.409476176,-0.305077877,-0.6,-1,1.33E-05,-1.33E-05
18,0,1.409476176,-0.305077877,-0.7,-0.1,1.29E-05,-1.29E-06
18,0,1.409476176,-0.305077877,-0.7,-0.2,1.97E-05,-3.94E-06
18,0,1.409476176,-0.305077877,-0.7,-0.3,2.05E-05,-6.15E-06
18,0,1.409476176,-0.305077877,-0.7,-0.4,2.05E-05,-8.21E-06
18,0,1.409476176,-0.305077877,-0.7,-0.5,2.05E-05,-1.03E-05
18,0,1.409476176,-0.305077877,-0.7,-0.6,2.05E-05,-1.23E-05
18,0,1.409476176,-0.305077877,-0.7,-0.7,2.05E-05,-1.44E-05
18,0,1.409476176,-0.305077877,-0.7,-0.8,2.05E-05,-1.64E-05
18,0,1.409476176,-0.305077877,-0.7,-0.9,2.05E-05,-1.85E-05
18,0,1.409476176,-0.305077877,-0.7,-1,2.05E-05,-2.05E-05
18,0,1.409476176,-0.305077877,-0.8,-0.1,1.43E-05,-1.43E-06
18,0,1.409476176,-0.305077877,-0.8,-0.2,2.46E-05,-4.91E-06
18,0,1.409476176,-0.305077877,-0.8,-0.3,2.79E-05,-8.37E-06
18,0,1.409476176,-0.305077877,-0.8,-0.4,2.81E-05,-1.12E-05
18,0,1.409476176,-0.305077877,-0.8,-0.5,2.81E-05,-1.40E-05
18,0,1.409476176,-0.305077877,-0.8,-0.6,2.81E-05,-1.68E-05
18,0,1.409476176,-0.305077877,-0.8,-0.7,2.81E-05,-1.97E-05
18,0,1.409476176,-0.305077877,-0.8,-0.8,2.81E-05,-2.25E-05
18,0,1.409476176,-0.305077877,-0.8,-0.9,2.81E-05,-2.53E-05
18,0,1.409476176,-0.305077877,-0.8,-1,2.81E-05,-2.81E-05
18,0,1.409476176,-0.305077877,-0.9,-0.1,1.48E-05,-1.48E-06
